indicator,season,n_rounds,first_round,last_round,mean_models,peak_models,distinct_models
ARI incidence,2023/24,20,2023-12-18,2024-04-29,7,9,10
ARI incidence,2024/25,41,2024-10-21,2025-07-28,6.9,10,15
ARI incidence,2025/26,50,2025-08-04,2026-07-13,7.3,14,15
COVID-19 cases,2020/21,26,2021-02-01,2021-07-26,24.3,32,36
COVID-19 cases,2021/22,52,2021-08-02,2022-07-25,24.7,29,39
COVID-19 cases,2022/23,53,2022-08-01,2023-07-31,14.1,20,25
COVID-19 cases,2023/24,51,2023-08-07,2024-07-29,6.5,10,13
COVID-19 cases,2024/25,11,2024-08-05,2024-10-14,1.7,3,3
COVID-19 deaths,2020/21,26,2021-02-01,2021-07-26,24.5,32,35
COVID-19 deaths,2021/22,52,2021-08-02,2022-07-25,22.9,30,37
COVID-19 deaths,2022/23,53,2022-08-01,2023-07-31,10.1,15,20
COVID-19 deaths,2023/24,51,2023-08-07,2024-07-29,6.2,9,13
COVID-19 deaths,2024/25,11,2024-08-05,2024-10-14,2.5,5,5
COVID-19 hospitalisations,2020/21,1,2021-07-26,2021-07-26,0,0,NA
COVID-19 hospitalisations,2021/22,52,2021-08-02,2022-07-25,6.4,11,13
COVID-19 hospitalisations,2022/23,53,2022-08-01,2023-07-31,4.3,7,10
COVID-19 hospitalisations,2023/24,51,2023-08-07,2024-07-29,4.1,6,8
COVID-19 hospitalisations,2024/25,51,2024-08-05,2025-07-28,6.8,11,15
COVID-19 hospitalisations,2025/26,47,2025-08-04,2026-06-22,7.4,10,13
ILI incidence,2023/24,22,2023-11-13,2024-04-29,10.4,14,14
ILI incidence,2024/25,41,2024-10-21,2025-07-28,13,17,22
ILI incidence,2025/26,50,2025-08-04,2026-07-13,11.4,20,21
