output,class,score,n
COVID-19 Forecast Hub,Short-term forecasting,0,3
COVID-19 Forecast Hub,Short-term forecasting,2,3
COVID-19 Forecast Hub,Short-term forecasting,3,6
COVID-19 Forecast Hub,Short-term forecasting,4,5
COVID-19 Forecast Hub,Short-term forecasting,5,1
COVID-19 Scenario Hub,Scenario modelling,0,2
COVID-19 Scenario Hub,Scenario modelling,2,4
COVID-19 Scenario Hub,Scenario modelling,3,6
COVID-19 Scenario Hub,Scenario modelling,4,3
COVID-19 Scenario Hub,Scenario modelling,5,1
COVID-19 risk assessments,Guidance,0,1
COVID-19 risk assessments,Guidance,3,5
COVID-19 risk assessments,Guidance,4,6
COVID-19 risk assessments,Guidance,5,7
RespiCast,Short-term forecasting,0,3
RespiCast,Short-term forecasting,1,3
RespiCast,Short-term forecasting,2,6
RespiCast,Short-term forecasting,3,2
RespiCast,Short-term forecasting,4,3
RespiCast,Short-term forecasting,5,1
RespiCompass,Scenario modelling,0,5
RespiCompass,Scenario modelling,1,5
RespiCompass,Scenario modelling,2,4
RespiCompass,Scenario modelling,3,2
RespiCompass,Scenario modelling,4,1
